Mooring ID, Deployed Latitude, Deployed Longitude, Deployed Time (UTC), Deployed Depth (m, no tide correction),
W, 34.469885, -120.129282, 2024/07/01 20:10:00, 7.92
E, 34.468977, -120.126275, 2024/07/01 21:14:00, 9.45
SE, 34.468817, -120.127070, 2024/07/01 21:40:00, 10.36
NE, 34.469255, -120.126962, 2024/07/01 21:40:00, 9.14
SW, 34.469212,-120.128725, 2024/07/01 20:25:00, 9.14
S, 34.468838, -120.128725, 2024/07/01 19:20:00, 10.97
NW, 34.469933, -120.128690, 2024/07/01 19:55:00, 7.92
N, 34.4695833, -120.1277950, 2024/07/01 19:40:00, 7.62

